Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-10 00:00:00,41.5,49.7,0.584,19.4,30.6,4.8
2025-02-10 01:00:00,35.3,42.0,0.52,16.5,29.6,3.6
2025-02-10 02:00:00,30.8,36.4,0.438,14.4,28.1,3.9
2025-02-10 03:00:00,24.9,29.4,0.376,12.5,27.5,4.2
2025-02-10 04:00:00,22.1,26.2,0.346,11.5,27.2,3.3
2025-02-10 05:00:00,22.0,27.1,0.356,15.3,26.4,2.8
2025-02-10 06:00:00,23.6,29.8,0.453,23.4,24.1,2.6
2025-02-10 07:00:00,27.2,35.2,0.654,39.7,19.3,2.4
2025-02-10 08:00:00,28.9,38.1,0.729,44.9,16.3,2.3
2025-02-10 09:00:00,29.4,37.9,0.554,34.0,26.8,3.0
2025-02-10 10:00:00,31.7,41.0,0.59,30.4,34.1,2.7
2025-02-10 11:00:00,31.5,45.6,0.571,34.3,41.7,4.0
2025-02-10 12:00:00,26.7,43.1,0.529,33.3,49.6,4.5
2025-02-10 13:00:00,21.6,41.5,0.507,29.3,57.7,4.4
2025-02-10 14:00:00,16.7,35.8,0.443,35.6,66.0,5.3
2025-02-10 15:00:00,14.8,30.6,0.458,42.3,71.8,2.4
2025-02-10 16:00:00,15.6,33.7,0.709,58.6,67.4,10.8
2025-02-10 17:00:00,22.6,54.8,0.75,72.2,48.8,21.1
2025-02-10 18:00:00,37.1,63.2,0.906,73.2,37.8,18.3
2025-02-10 19:00:00,46.2,71.5,1.043,68.5,35.3,8.1
2025-02-10 20:00:00,52.4,72.9,1.022,59.8,33.7,8.8
2025-02-10 21:00:00,51.3,69.0,1.12,57.8,39.8,6.9
2025-02-10 22:00:00,53.1,66.7,0.929,46.5,40.4,6.7
2025-02-10 23:00:00,53.7,67.3,0.8,39.3,37.3,6.5
2025-02-11 00:00:00,51.6,63.1,0.773,37.1,37.8,7.2
2025-02-11 01:00:00,43.5,51.8,0.613,20.8,35.8,8.5
2025-02-11 02:00:00,37.0,43.7,0.562,19.1,34.5,6.7
2025-02-11 03:00:00,34.4,40.5,0.556,19.1,32.6,5.5
2025-02-11 04:00:00,33.4,39.9,0.518,23.6,32.8,5.0
2025-02-11 05:00:00,34.9,41.5,0.539,24.8,33.2,4.7
2025-02-11 06:00:00,32.8,41.4,0.614,41.4,27.4,4.1
2025-02-11 07:00:00,35.2,45.1,0.842,50.1,17.9,3.5
2025-02-11 08:00:00,39.9,51.8,0.806,43.5,12.1,3.5
2025-02-11 09:00:00,40.9,51.1,0.681,37.6,19.2,3.3
2025-02-11 10:00:00,43.6,54.5,0.625,26.6,21.9,6.5
2025-02-11 11:00:00,44.7,57.6,0.624,25.2,20.8,12.4
2025-02-11 12:00:00,42.7,56.7,0.579,28.4,23.4,25.5
2025-02-11 13:00:00,41.8,55.1,0.572,30.5,27.8,32.3
2025-02-11 14:00:00,38.8,51.4,0.554,27.8,30.9,9.5
2025-02-11 15:00:00,38.4,50.1,0.624,26.9,31.6,5.5
2025-02-11 16:00:00,37.4,48.2,0.726,33.6,32.7,4.8
2025-02-11 17:00:00,35.0,44.7,0.576,35.8,34.5,9.1
2025-02-11 18:00:00,36.0,46.3,0.592,34.9,32.0,15.9
2025-02-11 19:00:00,44.2,59.8,0.776,43.8,29.4,23.3
2025-02-11 20:00:00,47.2,64.1,0.8,38.4,30.4,21.3
2025-02-11 21:00:00,44.9,57.6,0.723,36.6,24.3,14.5
2025-02-11 22:00:00,44.5,54.4,0.688,26.9,28.7,7.6
2025-02-11 23:00:00,43.1,52.1,0.627,25.1,25.0,6.0
2025-02-12 00:00:00,39.5,47.7,0.593,20.9,25.4,4.9
2025-02-12 01:00:00,38.3,45.3,0.528,14.7,26.8,3.9
2025-02-12 02:00:00,38.2,44.6,0.531,14.2,26.6,3.5
2025-02-12 03:00:00,38.6,44.8,0.509,12.8,27.3,2.8
2025-02-12 04:00:00,40.7,47.0,0.537,13.0,28.5,2.4
2025-02-12 05:00:00,41.2,47.7,0.571,15.9,27.3,2.3
2025-02-12 06:00:00,41.1,47.8,0.637,29.3,24.6,2.2
2025-02-12 07:00:00,44.3,51.4,0.881,46.9,19.9,2.1
2025-02-12 08:00:00,43.4,51.0,0.879,43.3,19.0,2.6
2025-02-12 09:00:00,44.1,53.4,0.832,38.4,27.5,3.7
2025-02-12 10:00:00,44.2,52.9,0.765,32.3,33.3,3.4
2025-02-12 11:00:00,43.2,53.2,0.796,19.3,36.6,4.1
2025-02-12 12:00:00,42.1,55.1,0.743,32.4,42.0,4.1
2025-02-12 13:00:00,39.5,57.4,0.702,30.7,48.1,3.9
2025-02-12 14:00:00,37.4,59.8,0.723,34.5,53.2,4.0
2025-02-12 15:00:00,35.7,59.4,0.756,38.4,53.7,4.0
2025-02-12 16:00:00,37.0,55.0,0.918,50.5,48.6,6.1
2025-02-12 17:00:00,40.2,61.6,0.978,69.4,33.9,5.4
2025-02-12 18:00:00,49.1,73.5,1.044,60.5,33.3,6.6
2025-02-12 19:00:00,56.1,78.7,1.088,59.3,24.7,6.8
2025-02-12 20:00:00,63.7,85.2,1.257,56.2,26.7,8.5
2025-02-12 21:00:00,67.1,85.9,1.178,53.2,23.9,9.7
2025-02-12 22:00:00,58.8,73.7,1.042,39.1,20.6,8.1
2025-02-12 23:00:00,53.3,63.6,0.799,35.3,27.4,7.1
2025-02-13 00:00:00,53.8,64.5,0.779,28.8,25.5,6.1
2025-02-13 01:00:00,49.8,59.1,0.668,20.5,21.1,4.9
2025-02-13 02:00:00,49.9,58.5,0.632,20.1,20.1,4.3
2025-02-13 03:00:00,48.4,56.6,0.637,20.7,18.6,4.1
2025-02-13 04:00:00,47.7,56.5,0.637,20.5,17.7,3.9
2025-02-13 05:00:00,48.9,58.2,0.686,23.2,9.5,3.2
2025-02-13 06:00:00,45.4,55.7,0.707,34.4,10.1,4.2
2025-02-13 07:00:00,49.1,63.3,0.963,54.6,2.7,3.9
2025-02-13 08:00:00,55.3,75.7,1.02,48.5,2.8,4.8
